Department,Name,Email,Username,Password,Roll Number
"AD Accounting and Finance","Ali Ali","241301001@gift.edu.pk","ali_ali_301","aliali123!","241301001"
"AD Accounting and Finance","Omar Mahmood","242301002@gift.edu.pk","omar_mahmood_302","omarmahmood123!","242301002"
"AD Accounting and Finance","Fahad Butt","241301003@gift.edu.pk","fahad_butt_303","fahadbutt123!","241301003"
"AD Accounting and Finance","Ibrahim Siddiqui","242301004@gift.edu.pk","ibrahim_siddiqui_304","ibrahimsiddiqui123!","242301004"
"AD Accounting and Finance","Zain Mirza","241301005@gift.edu.pk","zain_mirza_305","zainmirza123!","241301005"
"AD Business Innovation and Entrepreneurship","Muhammad Ahmed","24101961001@gift.edu.pk","muhammad_ahmed_1961","muhammadahmed123!","24101961001"
"AD Business Innovation and Entrepreneurship","Danish Sheikh","24201961002@gift.edu.pk","danish_sheikh_1962","danishsheikh123!","24201961002"
"AD Business Innovation and Entrepreneurship","Farhan Hussain","24101961003@gift.edu.pk","farhan_hussain_1963","farhanhussain123!","24101961003"
"AD Business Innovation and Entrepreneurship","Rizwan Iqbal","24201961004@gift.edu.pk","rizwan_iqbal_1964","rizwaniqbal123!","24201961004"
"AD Business Innovation and Entrepreneurship","Asad Akram","24101961005@gift.edu.pk","asad_akram_1965","asadakram123!","24101961005"
"AD Clinical Psychology","Shoaib Yousaf","24101711001@gift.edu.pk","shoaib_yousaf_1711","shoaibyousaf123!","24101711001"
"AD Clinical Psychology","Adnan Haider","24201711002@gift.edu.pk","adnan_haider_1712","adnanhaider123!","24201711002"
"AD Clinical Psychology","Faisal Khan","24101711003@gift.edu.pk","faisal_khan_1713","faisalkhan123!","24101711003"
"AD Clinical Psychology","Noman Malik","24201711004@gift.edu.pk","noman_malik_1714","nomanmalik123!","24201711004"
"AD Clinical Psychology","Sohail Raza","24101711005@gift.edu.pk","sohail_raza_1715","sohailraza123!","24101711005"
"AD Computer Science","Salman Yousaf","241381001@gift.edu.pk","salman_yousaf_381","salmanyousaf123!","241381001"
"AD Computer Science","Talha Haider","242381002@gift.edu.pk","talha_haider_382","talhahaider123!","242381002"
"AD Computer Science","Umar Khan","241381003@gift.edu.pk","umar_khan_383","umarkhan123!","241381003"
"AD Computer Science","Yasir Malik","242381004@gift.edu.pk","yasir_malik_384","yasirmalik123!","242381004"
"AD Computer Science","Arslan Raza","241381005@gift.edu.pk","arslan_raza_385","arslanraza123!","241381005"
"AD Economics","Adeel Anwar","241681001@gift.edu.pk","adeel_anwar_681","adeelanwar123!","241681001"
"AD Economics","Raheel Naeem","242681002@gift.edu.pk","raheel_naeem_682","raheelnaeem123!","242681002"
"AD Economics","Mubashir Javed","241681003@gift.edu.pk","mubashir_javed_683","mubashirjaved123!","241681003"
"AD Economics","Ahmed Tariq","242681004@gift.edu.pk","ahmed_tariq_684","ahmedtariq123!","242681004"
"AD Economics","Hassan Rehman","241681005@gift.edu.pk","hassan_rehman_685","hassanrehman123!","241681005"
"AD Education","Adeel Ahmed","24101721001@gift.edu.pk","adeel_ahmed_1721","adeelahmed123!","24101721001"
"AD Education","Raheel Sheikh","24201721002@gift.edu.pk","raheel_sheikh_1722","raheelsheikh123!","24201721002"
"AD Education","Mubashir Hussain","24101721003@gift.edu.pk","mubashir_hussain_1723","mubashirhussain123!","24101721003"
"AD Education","Ahmed Iqbal","24201721004@gift.edu.pk","ahmed_iqbal_1724","ahmediqbal123!","24201721004"
"AD Education","Hassan Akram","24101721005@gift.edu.pk","hassan_akram_1725","hassanakram123!","24101721005"
"AD Graphic Design","Imran Ahmed","241841001@gift.edu.pk","imran_ahmed_841","imranahmed123!","241841001"
